species	MMR	Qi	Qdot
Acinonyx_jubatus	67.867991	0.0002762654667	0.1056115414
Alligator_mississippiensis	7.184897	0.00005102618432	0.02980962424
Amphibolurus_barbatus	3.369740	0.000003466937449	0.001977073615
Bettongia_penicillata	112.804439	0.0000173264	0.00915480139
Bos_taurus	377.096715	0.000934957	0.2846363057
Capra_hircus	615.352927	0.000270227	0.08968993141
Chelonia_mydas	28.864606	0.000074523	0.01618876583
Crocodylus_niloticus	7.713221	0.00002718747918	0.02075352015
Crocodylus_porosus	10.231013	0.000355442	0.1197411846
Dasyuroides_byrnei	69.370461	0.00000175547	0.001067490558
Equus_caballus	417.584648	0.024465289	68.07605929
Helogale_parvula	56.757567	0.000005836104067	0.002882134666
Iguana_iguana	3.623941	0.00005570487798	0.01969500743
Isoodon_obesulus	69.999219	0.0000291277	0.009129614343
Oryctolagus_cuniculus	48.346796	0.00001203	0.006912415765
Ovis_aries	76.931243	0.000336672	0.1025202182
Papio_hamadryas	103.324313	0.00003680276177	0.02867762628
Potorous_tridactylus	72.945968	0.0000028227	0.002706611515
Sus_scrofa	69.019688	0.00020452	0.08210466201
Tachyglossus_aculeatus	19.748712	0.0000108138	0.004196374042
Tiliqua_rugosa	5.740087	0.0000000959587	0.000122070781
Tiliqua_scincoides	3.928270	0.000000717646	0.0004216165229
Tupinambis_teguixin	7.266243	0.00003805809093	0.01091234496
Varanus_gouldii	21.148172	0.0000399368	0.01596350941
Varanus_mertensi	9.676031	0.0000547876	0.01664107494
Varanus_panoptes	17.586069	0.0000252219	0.01198396209
Varanus_salvator	20.789388	0.0005341039641	0.09378598508
Varanus_varius	16.161829	0.00000768629	0.007548319829
Vulpes_vulpes	181.289907	0.0000687675	0.02550044678
Campinasuchus_dinizi	NA	0.000348954	0.0728054940780934
Araripesuchus_sp	NA	0.000624635	0.107938763910875
Sahitisuchus_fluminensis	NA	0.00126620	0.249397579915812
Itasuchus_jesuinoi	NA	0.00267689	0.383042515669238
Pissarrachampsa_sera	NA	0.00427081	0.517465540116948
Coronelsuchus_civali	NA	0.00012379	0.0428590415575569
Uberabasuchus_terrificus	NA	0.00084554	0.159138846211418
